"index","country","population","last_updated"
"67","Netherlands","17280397","July 2020 est."
"68","Guatemala","17153288","July 2020 est."
"69","Cambodia","16926984","July 2020 est."
"70","Ecuador","16904867","July 2020 est."
"71","Chad","16877357","July 2020 est."
"72","Senegal","15736368","July 2020 est."
"73","Zimbabwe","14546314","July 2020 est."
"74","Benin","12864634","July 2020 est."
"75","Rwanda","12712431","July 2020 est."
"76","Guinea","12527440","July 2020 est."
"77","Burundi","11865821","July 2020 est."
"78","Somalia","11757124","July 2020 est."
"79","Tunisia","11721177","July 2020 est."
"80","Belgium","11720716","July 2020 est."
"81","Bolivia","11639909","July 2020 est."
"82","Haiti","11067777","July 2020 est."
"83","Cuba","11059062","July 2020 est."
"84","Jordan","10820644","July 2020 est."
"85","Czechia","10702498","July 2020 est."
"86","Greece","10607051","July 2020 est."
"87","South Sudan","10561244","July 2020 est."
"88","Dominican Republic","10499707","July 2020 est."
"89","Portugal","10302674","July 2020 est."
"90","Azerbaijan","10205810","July 2020 est."
"91","Sweden","10202491","July 2020 est."
"92","United Arab Emirates","9992083","July 2020 est."
"93","Hungary","9771827","July 2020 est."
"94","Belarus","9477918","July 2020 est."
"95","Honduras","9235340","July 2020 est."
"96","Tajikistan","8873669","July 2020 est."
"97","Austria","8859449","July 2020 est."
"98","Israel","8675475","July 2020 est."
"99","Togo","8608444","July 2020 est."
"100","Switzerland","8403994","July 2020 est."
"101","Laos","7447396","July 2020 est."
"102","Papua New Guinea","7259456","July 2020 est."
"103","Hong Kong","7249907","July 2020 est."
"104","Paraguay","7191685","July 2020 est."
"105","Serbia","7012165","July 2020 est."
"106","Bulgaria","6966899","July 2020 est."
"107","Libya","6890535","July 2020 est."
"108","Sierra Leone","6624933","July 2020 est."
"109","El Salvador","6481102","July 2020 est."
"110","Singapore","6209660","July 2020 est."
"111","Nicaragua","6203441","July 2020 est."
"112","Eritrea","6081196","July 2020 est."
"113","Central African Republic","5990855","July 2020 est."
"114","Kyrgyzstan","5964897","July 2020 est."
"115","Denmark","5869410","July 2020 est."
"116","Finland","5571665","July 2020 est."
"117","Turkmenistan","5528627","July 2020 est."
"118","Lebanon","5469612","July 2020 est."
"119","Norway","5467439","July 2020 est."
"120","Slovakia","5440602","July 2020 est."
"121","Congo, Republic of the","5293070","July 2020 est."
"122","Ireland","5176569","July 2020 est."
"123","Costa Rica","5097988","July 2020 est."
"124","Liberia","5073296","July 2020 est."
"125","New Zealand","4925477","July 2020 est."
"126","Oman","4664844","December 2019 est."
"127","Croatia","4227746","July 2020 est."
"128","Mauritania","4005475","July 2020 est."
"129","Georgia","3997000","2019 est."
"130","Panama","3894082","July 2020 est."
"131","Bosnia and Herzegovina","3835586","July 2020 est."
"132","Uruguay","3387605","July 2020 est."
"133","Moldova","3364496","July 2020 est."
"134","Puerto Rico","3189068","July 2020 est."
"135","Mongolia","3168026","July 2020 est."
"136","Albania","3074579","July 2020 est."
"137","Armenia","3021324","July 2020 est."
"138","Kuwait","2993706","July 2020 est."
"139","West Bank","2900034","July 2020 est."
"140","Jamaica","2808570","July 2020 est."
"141","Lithuania","2731464","July 2020 est."
"142","Namibia","2630073","July 2020 est."
"143","Qatar","2444174","July 2020 est."
"144","Botswana","2317233","July 2020 est."
"145","Gabon","2230908","July 2020 est."
"146","Gambia, The","2173999","July 2020 est."
"147","Macedonia","2125971","July 2020 est."
"148","Slovenia","2102678","July 2020 est."
"149","Lesotho","1969334","July 2020 est."
"150","Kosovo","1932774","July 2020 est."
"151","Guinea-Bissau","1927104","July 2020 est."
"152","Gaza Strip","1918221","July 2020 est."
"153","Latvia","1881232","July 2020 est."
"154","Bahrain","1505003","July 2020 est."
"155","Timor-Leste","1383723","July 2020 est."
"156","Mauritius","1379365","July 2020 est."
"157","Cyprus","1266676","July 2020 est."
"158","Estonia","1228624","July 2020 est."
"159","Trinidad and Tobago","1208789","July 2020 est."
"160","Eswatini","1104479","July 2020 est."
"161","Fiji","935974","July 2020 est."
"162","Djibouti","921804","July 2020 est."
"163","Comoros","846281","July 2020 est."
"164","Equatorial Guinea","836178","July 2020 est."
"165","Bhutan","782318","July 2020 est."
"166","Guyana","750204","July 2020 est."
"167","Solomon Islands","685097","July 2020 est."
"168","Western Sahara","652271","July 2020 est."
"169","Luxembourg","628381","July 2020 est."
"170","Macau","614458","July 2020 est."
"171","Montenegro","609859","July 2020 est."
"172","Suriname","609569","July 2020 est."
"173","Cabo Verde","583255","July 2020 est."
"174","Brunei","464478","July 2020 est."
"175","Malta","457267","July 2020 est."
"176","Belize","399598","July 2020 est."
"177","Maldives","391904","July 2020 est."
"178","Iceland","350734","July 2020 est."
"179","Bahamas, The","337721","July 2020 est."
"180","Vanuatu","298333","July 2020 est."
"181","French Polynesia","295121","July 2020 est."
"182","Barbados","294560","July 2020 est."
"183","New Caledonia","290009","July 2020 est."
"184","Sao Tome and Principe","211122","July 2020 est."
"185","Samoa","203774","July 2020 est."
"186","Guam","168485","July 2020 est."
"187","Saint Lucia","166487","July 2020 est."
"188","Curacao","151345","July 2020 est."
"189","Aruba","119428","July 2020 est."
"190","Grenada","113094","July 2020 est."
"191","Kiribati","111796","July 2020 est."
"192","Virgin Islands","106235","July 2020 est."
"193","Tonga","106095","July 2020 est."
"194","Micronesia, Federated States of","102436","July 2020 est."
"195","Saint Vincent and the Grenadines","101390","July 2020 est."
"196","Jersey","101073","July 2020 est."
"197","Antigua and Barbuda","98179","July 2020 est."
"198","Seychelles","95981","July 2020 est."
"199","Isle of Man","90499","July 2020 est."
"200","Marshall Islands","77917","July 2020 est."
"201","Andorra","77000","2019 est."
"202","Dominica","74243","July 2020 est."
"203","Bermuda","71750","July 2020 est."
"204","Guernsey","67052","July 2020 est."
"205","Cayman Islands","61944","July 2020 est."
"206","Greenland","57616","July 2020 est."
"207","Turks and Caicos Islands","55926","July 2020 est."
"208","Saint Kitts and Nevis","53821","July 2020 est."
"209","Faroe Islands","51628","July 2020 est."
"210","Northern Mariana Islands","51433","July 2020 est."
"211","American Samoa","49437","July 2020 est."
"212","Sint Maarten","43847","July 2020 est."
"213","Liechtenstein","39137","July 2020 est."
"214","Monaco","39000","2019 est."
"215","British Virgin Islands","37381","July 2020 est."
"216","San Marino","34232","July 2020 est."
"217","Saint Martin","32556","July 2020 est."
"218","Gibraltar","29581","July 2020 est."
"219","Palau","21685","July 2020 est."
"220","Anguilla","18090","July 2020 est."
"221","Wallis and Futuna","15854","July 2020 est."
"222","Tuvalu","11342","July 2020 est."
"223","Nauru","11000","2019 est."
"224","Cook Islands","8574","July 2020 est."
"225","Saint Helena, Ascension, and Tristan da Cunha","7862","July 2020 est."
"226","Saint Barthelemy","7122","July 2020 est."
"227","Montserrat","5373","July 2020 est."
"228","Saint Pierre and Miquelon","5347","July 2020 est."
"229","Falkland Islands (Islas Malvinas)","3198","2016 est."
"230","Svalbard","2926","July 2019 est."
"231","Christmas Island","2205","2016 est."
"232","Niue","2000","2019"
"233","Norfolk Island","1748","2016 est."
"234","Tokelau","1647","2019 est."
"235","Paracel Islands","1440","2014 est."
"236","Holy See (Vatican City)","1000","2019 est."
"237","Cocos (Keeling) Islands","596","July 2014 est."
"238","Pitcairn Islands","50","2020 est."
